date,year,month,latitude,longitude,co_ppm,aod_unitless,region
2010-01-01,2010,1,26.11,83.57,0.909,0.705,IGP
2010-01-01,2010,1,26.11,84.64,0.909,0.452,IGP
2010-01-01,2010,1,26.11,85.71,0.878,0.804,IGP
2010-01-01,2010,1,26.11,86.79,1.5,1.345,IGP
2010-01-01,2010,1,26.11,87.86,0.819,0.675,IGP
2010-01-01,2010,1,26.11,88.93,0.992,0.799,IGP
2010-01-01,2010,1,26.11,90.0,0.847,0.827,IGP
2010-01-01,2010,1,26.67,75.0,0.91,0.895,IGP
2010-01-01,2010,1,26.67,76.07,0.83,0.701,IGP
2010-01-01,2010,1,26.67,77.14,0.861,0.53,IGP
2010-01-01,2010,1,26.67,78.21,0.93,0.789,IGP
2010-01-01,2010,1,26.67,79.29,0.901,0.715,IGP
2010-01-01,2010,1,26.67,80.36,1.478,1.287,IGP
2010-01-01,2010,1,26.67,81.43,1.5,1.23,IGP
2010-01-01,2010,1,26.67,82.5,0.884,0.811,IGP
2010-01-01,2010,1,26.67,83.57,1.089,0.776,IGP
2010-01-01,2010,1,26.67,84.64,0.926,0.739,IGP
2010-01-01,2010,1,26.67,85.71,0.708,0.746,IGP
2010-01-01,2010,1,26.67,86.79,0.906,1.119,IGP
2010-01-01,2010,1,26.67,87.86,0.881,0.795,IGP
2010-01-01,2010,1,26.67,88.93,0.897,0.575,IGP
2010-01-01,2010,1,26.67,90.0,1.014,0.863,IGP
2010-01-01,2010,1,27.22,75.0,0.979,0.614,IGP
2010-01-01,2010,1,27.22,76.07,1.04,0.54,IGP
2010-01-01,2010,1,27.22,77.14,0.959,1.079,IGP
2010-01-01,2010,1,27.22,78.21,0.801,0.665,IGP
2010-01-01,2010,1,27.22,79.29,0.91,0.674,IGP
2010-01-01,2010,1,27.22,80.36,1.465,1.36,IGP
2010-01-01,2010,1,27.22,81.43,1.5,1.421,IGP
2010-01-01,2010,1,27.22,82.5,1.212,1.965,IGP
2010-01-01,2010,1,27.22,83.57,0.822,0.702,IGP
2010-01-01,2010,1,27.22,84.64,0.981,0.565,IGP
2010-01-01,2010,1,27.22,85.71,0.923,0.946,IGP
2010-01-01,2010,1,27.22,86.79,0.739,0.778,IGP
2010-01-01,2010,1,27.22,87.86,0.926,0.867,IGP
2010-01-01,2010,1,27.22,88.93,0.776,0.552,IGP
2010-01-01,2010,1,27.22,90.0,0.952,0.795,IGP
2010-01-01,2010,1,27.78,75.0,0.925,0.802,IGP
2010-01-01,2010,1,27.78,76.07,1.5,1.385,IGP
2010-01-01,2010,1,27.78,77.14,1.5,1.243,IGP
2010-01-01,2010,1,27.78,78.21,1.5,1.421,IGP
2010-01-01,2010,1,27.78,79.29,0.781,0.848,IGP
2010-01-01,2010,1,27.78,80.36,1.5,1.468,IGP
2010-01-01,2010,1,27.78,81.43,1.5,1.227,IGP
2010-01-01,2010,1,27.78,82.5,0.996,0.812,IGP
2010-01-01,2010,1,27.78,83.57,0.982,1.035,IGP
2010-01-01,2010,1,27.78,84.64,0.875,0.637,IGP
2010-01-01,2010,1,27.78,85.71,0.811,0.628,IGP
2010-01-01,2010,1,27.78,86.79,0.892,0.801,IGP
2010-01-01,2010,1,27.78,87.86,0.928,0.874,IGP
2010-01-01,2010,1,27.78,88.93,0.901,0.968,IGP
2010-01-01,2010,1,27.78,90.0,1.31,2.316,IGP
2010-01-01,2010,1,28.33,75.0,0.963,0.621,IGP
2010-01-01,2010,1,28.33,76.07,1.5,1.422,IGP
2010-01-01,2010,1,28.33,77.14,1.5,1.457,IGP
2010-01-01,2010,1,28.33,78.21,1.5,1.339,IGP
2010-01-01,2010,1,28.33,79.29,0.815,0.523,IGP
2010-01-01,2010,1,28.33,80.36,0.855,0.878,IGP
2010-01-01,2010,1,28.33,81.43,0.921,0.563,IGP
2010-01-01,2010,1,28.33,82.5,0.917,0.808,IGP
2010-01-01,2010,1,28.33,83.57,0.812,0.773,IGP
2010-01-01,2010,1,28.33,84.64,0.906,0.579,IGP
2010-01-01,2010,1,28.33,85.71,1.404,1.668,IGP
2010-01-01,2010,1,28.33,86.79,1.008,0.908,IGP
2010-01-01,2010,1,28.33,87.86,0.762,0.609,IGP
2010-01-01,2010,1,28.33,88.93,0.952,0.827,IGP
2010-01-01,2010,1,28.33,90.0,0.952,1.328,IGP
2010-01-01,2010,1,28.89,75.0,0.957,0.92,IGP
2010-01-01,2010,1,28.89,76.07,1.5,1.448,IGP
2010-01-01,2010,1,28.89,77.14,1.5,1.464,IGP
2010-01-01,2010,1,28.89,78.21,1.5,1.314,IGP
2010-01-01,2010,1,28.89,79.29,0.851,0.762,IGP
2010-01-01,2010,1,28.89,80.36,1.131,0.47,IGP
2010-01-01,2010,1,28.89,81.43,0.969,0.508,IGP
2010-01-01,2010,1,28.89,82.5,0.853,0.913,IGP
2010-01-01,2010,1,28.89,83.57,0.906,0.588,IGP
2010-01-01,2010,1,28.89,84.64,0.828,0.852,IGP
2010-01-01,2010,1,28.89,85.71,0.827,0.782,IGP
2010-01-01,2010,1,28.89,86.79,0.905,0.652,IGP
2010-01-01,2010,1,28.89,87.86,1.114,0.845,IGP
2010-01-01,2010,1,28.89,88.93,0.697,0.778,IGP
2010-01-01,2010,1,28.89,90.0,0.834,0.878,IGP
2010-01-01,2010,1,29.44,75.0,0.821,0.733,IGP
2010-01-01,2010,1,29.44,76.07,1.5,1.48,IGP
2010-01-01,2010,1,29.44,77.14,1.5,1.3,IGP
2010-01-01,2010,1,29.44,78.21,1.5,1.252,IGP
2010-01-01,2010,1,29.44,79.29,1.5,1.621,IGP
2010-01-01,2010,1,29.44,80.36,0.774,0.888,IGP
2010-01-01,2010,1,29.44,81.43,1.5,1.81,IGP
2010-01-01,2010,1,29.44,82.5,0.748,0.677,IGP
2010-01-01,2010,1,29.44,83.57,1.027,0.644,IGP
2010-01-01,2010,1,29.44,84.64,0.944,0.866,IGP
2010-01-01,2010,1,29.44,85.71,0.807,0.741,IGP
2010-01-01,2010,1,29.44,86.79,0.576,0.596,IGP
2010-01-01,2010,1,29.44,87.86,0.875,0.563,IGP
2010-01-01,2010,1,29.44,88.93,1.063,0.535,IGP
2010-01-01,2010,1,29.44,90.0,0.856,0.77,IGP
2010-01-01,2010,1,30.0,75.0,1.044,0.535,IGP
2010-01-01,2010,1,30.0,76.07,1.016,0.752,IGP
2010-01-01,2010,1,30.0,77.14,0.802,0.819,IGP
2010-01-01,2010,1,30.0,78.21,0.92,0.66,IGP
2010-01-01,2010,1,30.0,79.29,0.907,0.692,IGP
2010-01-01,2010,1,30.0,80.36,0.911,0.849,IGP
2010-01-01,2010,1,30.0,81.43,1.059,0.564,IGP
2010-01-01,2010,1,30.0,82.5,1.113,0.457,IGP
2010-01-01,2010,1,30.0,83.57,0.885,0.838,IGP
2010-01-01,2010,1,30.0,84.64,0.928,0.657,IGP
2010-01-01,2010,1,30.0,85.71,0.879,0.676,IGP
2010-01-01,2010,1,30.0,86.79,0.841,0.877,IGP
2010-01-01,2010,1,30.0,87.86,0.936,0.646,IGP
2010-01-01,2010,1,30.0,88.93,0.99,0.796,IGP
2010-01-01,2010,1,30.0,90.0,0.981,0.844,IGP
2010-02-01,2010,2,25.0,75.0,0.817,0.666,IGP
2010-02-01,2010,2,25.0,76.07,0.975,0.842,IGP
2010-02-01,2010,2,25.0,77.14,0.898,0.768,IGP
2010-02-01,2010,2,25.0,78.21,1.028,0.661,IGP
2010-02-01,2010,2,25.0,79.29,0.955,0.72,IGP
2010-02-01,2010,2,25.0,80.36,0.878,0.915,IGP
2010-02-01,2010,2,25.0,81.43,0.983,0.872,IGP
2010-02-01,2010,2,25.0,82.5,1.031,0.753,IGP
2010-02-01,2010,2,25.0,83.57,0.968,0.703,IGP
2010-02-01,2010,2,25.0,84.64,0.932,0.73,IGP
2010-02-01,2010,2,25.0,85.71,0.91,0.839,IGP
2010-02-01,2010,2,25.0,86.79,0.818,1.064,IGP
2010-02-01,2010,2,25.0,87.86,0.799,0.568,IGP
2010-02-01,2010,2,25.0,88.93,1.016,0.869,IGP
2010-02-01,2010,2,25.0,90.0,0.962,0.844,IGP
2010-02-01,2010,2,25.56,75.0,0.899,0.615,IGP
2010-02-01,2010,2,25.56,76.07,0.908,0.648,IGP
2010-02-01,2010,2,25.56,77.14,0.998,0.728,IGP
2010-02-01,2010,2,25.56,78.21,0.817,0.702,IGP
2010-02-01,2010,2,25.56,79.29,0.941,0.665,IGP
2010-02-01,2010,2,25.56,80.36,0.818,0.787,IGP
2010-02-01,2010,2,25.56,81.43,0.924,0.674,IGP
2010-02-01,2010,2,25.56,82.5,0.853,0.785,IGP
2010-02-01,2010,2,25.56,83.57,0.755,0.539,IGP
2010-02-01,2010,2,25.56,84.64,0.828,0.718,IGP
2010-02-01,2010,2,25.56,85.71,0.931,0.971,IGP
2010-02-01,2010,2,25.56,86.79,0.986,0.726,IGP
2010-02-01,2010,2,25.56,87.86,0.898,0.6,IGP
2010-02-01,2010,2,25.56,88.93,0.898,0.707,IGP
2010-02-01,2010,2,25.56,90.0,0.932,0.626,IGP
2010-02-01,2010,2,26.11,75.0,0.952,0.98,IGP
2010-02-01,2010,2,26.11,76.07,0.889,0.81,IGP
2010-02-01,2010,2,26.11,77.14,0.969,0.69,IGP
2010-02-01,2010,2,26.11,78.21,0.922,0.752,IGP
2010-02-01,2010,2,26.11,79.29,0.91,0.634,IGP
2010-02-01,2010,2,26.11,80.36,1.5,1.425,IGP
2010-02-01,2010,2,26.11,81.43,1.5,1.494,IGP
2010-02-01,2010,2,26.11,82.5,1.115,0.635,IGP
2010-02-01,2010,2,26.11,83.57,0.987,0.778,IGP
2010-02-01,2010,2,26.11,84.64,1.119,0.629,IGP
2010-02-01,2010,2,26.11,85.71,0.816,0.66,IGP
2010-02-01,2010,2,26.11,86.79,0.688,0.671,IGP
2010-02-01,2010,2,26.11,87.86,0.824,0.773,IGP
2010-02-01,2010,2,26.11,88.93,0.934,1.031,IGP
2010-02-01,2010,2,26.11,90.0,0.995,0.663,IGP
2010-02-01,2010,2,26.67,75.0,0.81,0.824,IGP
2010-02-01,2010,2,26.67,76.07,0.768,1.025,IGP
2010-02-01,2010,2,26.67,77.14,1.018,0.68,IGP
2010-02-01,2010,2,26.67,78.21,0.729,0.953,IGP
2010-02-01,2010,2,26.67,79.29,0.889,0.936,IGP
2010-02-01,2010,2,26.67,80.36,1.461,1.26,IGP
2010-02-01,2010,2,26.67,81.43,1.5,1.357,IGP
2010-02-01,2010,2,26.67,82.5,0.855,0.843,IGP
2010-02-01,2010,2,26.67,83.57,0.793,0.729,IGP
2010-02-01,2010,2,26.67,84.64,0.912,0.827,IGP
2010-02-01,2010,2,26.67,85.71,0.971,0.581,IGP
2010-02-01,2010,2,26.67,86.79,0.747,0.942,IGP
2010-02-01,2010,2,26.67,87.86,0.933,0.638,IGP
2010-02-01,2010,2,26.67,88.93,1.055,0.767,IGP
2010-02-01,2010,2,26.67,90.0,1.018,0.76,IGP
2010-02-01,2010,2,27.22,75.0,1.106,1.013,IGP
2010-02-01,2010,2,27.22,76.07,0.875,0.896,IGP
2010-02-01,2010,2,27.22,77.14,0.965,0.955,IGP
2010-02-01,2010,2,27.22,78.21,0.804,0.853,IGP
2010-02-01,2010,2,27.22,79.29,1.006,0.486,IGP
2010-02-01,2010,2,27.22,80.36,1.5,1.044,IGP
2010-02-01,2010,2,27.22,81.43,1.5,1.458,IGP
2010-02-01,2010,2,27.22,82.5,1.05,0.761,IGP
2010-02-01,2010,2,27.22,83.57,1.063,0.543,IGP
2010-02-01,2010,2,27.22,84.64,0.73,0.742,IGP
2010-02-01,2010,2,27.22,85.71,0.938,0.745,IGP
2010-02-01,2010,2,27.22,86.79,0.693,0.737,IGP
2010-02-01,2010,2,27.22,87.86,0.77,0.85,IGP
2010-02-01,2010,2,27.22,88.93,0.937,0.609,IGP
2010-02-01,2010,2,27.22,90.0,0.849,0.591,IGP
2010-02-01,2010,2,27.78,75.0,0.894,0.893,IGP
2010-02-01,2010,2,27.78,76.07,1.5,1.426,IGP
2010-02-01,2010,2,27.78,77.14,1.5,1.231,IGP
2010-02-01,2010,2,27.78,78.21,1.5,1.195,IGP
2010-02-01,2010,2,27.78,79.29,0.845,0.57,IGP
2010-02-01,2010,2,27.78,80.36,1.5,1.355,IGP
2010-02-01,2010,2,27.78,81.43,1.5,1.382,IGP
2010-02-01,2010,2,27.78,82.5,0.889,0.717,IGP
2010-02-01,2010,2,27.78,83.57,0.961,0.864,IGP
2010-02-01,2010,2,27.78,84.64,0.847,0.664,IGP
2010-02-01,2010,2,27.78,85.71,0.872,0.405,IGP
2010-02-01,2010,2,27.78,86.79,0.748,0.955,IGP
2010-02-01,2010,2,27.78,87.86,1.064,0.713,IGP
2010-02-01,2010,2,27.78,88.93,0.958,0.797,IGP
2010-02-01,2010,2,27.78,90.0,1.208,0.918,IGP
2010-02-01,2010,2,28.33,75.0,0.887,0.607,IGP
2010-02-01,2010,2,28.33,76.07,1.459,1.381,IGP
2010-02-01,2010,2,28.33,77.14,1.5,1.137,IGP
2010-02-01,2010,2,28.33,78.21,1.5,1.188,IGP
2010-02-01,2010,2,28.33,79.29,1.069,0.882,IGP
2010-02-01,2010,2,28.33,80.36,0.899,0.972,IGP
2010-02-01,2010,2,28.33,81.43,0.908,0.621,IGP
2010-02-01,2010,2,28.33,82.5,1.052,0.831,IGP
2010-02-01,2010,2,28.33,83.57,0.796,0.721,IGP
2010-02-01,2010,2,28.33,84.64,0.812,0.543,IGP
2010-02-01,2010,2,28.33,85.71,0.993,1.036,IGP
2010-02-01,2010,2,28.33,86.79,0.76,0.834,IGP
2010-02-01,2010,2,28.33,87.86,0.835,0.677,IGP
2010-02-01,2010,2,28.33,88.93,0.841,0.62,IGP
2010-02-01,2010,2,28.33,90.0,0.905,0.625,IGP
2010-02-01,2010,2,28.89,75.0,0.927,0.742,IGP
2010-02-01,2010,2,28.89,76.07,1.5,1.214,IGP
2010-02-01,2010,2,28.89,77.14,1.5,1.463,IGP
2010-02-01,2010,2,28.89,78.21,1.5,1.203,IGP
2010-02-01,2010,2,28.89,79.29,0.91,0.863,IGP
2010-02-01,2010,2,28.89,80.36,0.733,0.832,IGP
2010-02-01,2010,2,28.89,81.43,0.834,0.836,IGP
2010-02-01,2010,2,28.89,82.5,0.824,0.479,IGP
2010-02-01,2010,2,28.89,83.57,0.737,0.757,IGP
2010-02-01,2010,2,28.89,84.64,0.926,0.614,IGP
2010-02-01,2010,2,28.89,85.71,0.964,0.501,IGP
2010-02-01,2010,2,28.89,86.79,0.893,0.568,IGP
2010-02-01,2010,2,28.89,87.86,0.835,0.757,IGP
2010-02-01,2010,2,28.89,88.93,0.814,0.692,IGP
2010-02-01,2010,2,28.89,90.0,1.5,1.327,IGP
2010-02-01,2010,2,29.44,75.0,0.984,0.581,IGP
2010-02-01,2010,2,29.44,76.07,1.5,1.566,IGP
2010-02-01,2010,2,29.44,77.14,1.373,1.23,IGP
2010-02-01,2010,2,29.44,78.21,1.5,1.32,IGP
2010-02-01,2010,2,29.44,79.29,0.937,0.659,IGP
2010-02-01,2010,2,29.44,80.36,0.909,0.727,IGP
2010-02-01,2010,2,29.44,81.43,1.017,0.788,IGP
2010-02-01,2010,2,29.44,82.5,0.934,0.688,IGP
2010-02-01,2010,2,29.44,83.57,0.851,0.685,IGP
2010-02-01,2010,2,29.44,84.64,0.939,0.687,IGP
2010-02-01,2010,2,29.44,85.71,0.929,1.061,IGP
2010-02-01,2010,2,29.44,86.79,0.987,0.701,IGP
2010-02-01,2010,2,29.44,87.86,1.02,0.689,IGP
2010-02-01,2010,2,29.44,88.93,0.696,0.599,IGP
2010-02-01,2010,2,29.44,90.0,0.713,0.697,IGP
2010-02-01,2010,2,30.0,75.0,0.902,1.001,IGP
2010-02-01,2010,2,30.0,76.07,0.933,0.717,IGP
2010-02-01,2010,2,30.0,77.14,0.983,0.418,IGP
2010-02-01,2010,2,30.0,78.21,0.924,0.866,IGP
2010-02-01,2010,2,30.0,79.29,0.752,0.922,IGP
2010-02-01,2010,2,30.0,80.36,1.401,1.375,IGP
2010-02-01,2010,2,30.0,81.43,0.963,1.091,IGP
2010-02-01,2010,2,30.0,82.5,0.918,0.787,IGP
2010-02-01,2010,2,30.0,83.57,0.854,0.623,IGP
2010-02-01,2010,2,30.0,84.64,0.983,0.622,IGP
2010-02-01,2010,2,30.0,85.71,0.907,0.678,IGP
2010-02-01,2010,2,30.0,86.79,0.948,0.8,IGP
2010-02-01,2010,2,30.0,87.86,1.5,1.347,IGP
2010-02-01,2010,2,30.0,88.93,0.873,0.603,IGP
2010-02-01,2010,2,30.0,90.0,0.856,0.807,IGP
2010-03-01,2010,3,25.0,75.0,0.676,0.362,IGP
2010-03-01,2010,3,25.0,76.07,0.687,0.703,IGP
2010-03-01,2010,3,25.0,77.14,0.641,0.782,IGP
2010-03-01,2010,3,25.0,78.21,0.523,0.313,IGP
2010-03-01,2010,3,25.0,79.29,0.422,0.724,IGP
2010-03-01,2010,3,25.0,80.36,0.665,0.492,IGP
2010-03-01,2010,3,25.0,81.43,0.628,0.331,IGP
2010-03-01,2010,3,25.0,82.5,0.845,0.519,IGP
2010-03-01,2010,3,25.0,83.57,0.611,0.609,IGP
2010-03-01,2010,3,25.0,84.64,0.648,0.534,IGP
2010-03-01,2010,3,25.0,85.71,0.521,0.571,IGP
2010-03-01,2010,3,25.0,86.79,0.788,0.702,IGP
2010-03-01,2010,3,25.0,87.86,0.759,0.423,IGP
2010-03-01,2010,3,25.0,88.93,0.501,0.481,IGP
2010-03-01,2010,3,25.0,90.0,0.606,0.664,IGP
2010-03-01,2010,3,25.56,75.0,0.431,0.729,IGP
2010-03-01,2010,3,25.56,76.07,0.584,0.436,IGP
2010-03-01,2010,3,25.56,77.14,0.499,0.252,IGP
2010-03-01,2010,3,25.56,78.21,0.682,0.511,IGP
2010-03-01,2010,3,25.56,79.29,0.471,0.306,IGP
2010-03-01,2010,3,25.56,80.36,0.566,0.75,IGP
2010-03-01,2010,3,25.56,81.43,0.574,0.275,IGP
2010-03-01,2010,3,25.56,82.5,0.575,0.459,IGP
2010-03-01,2010,3,25.56,83.57,0.33,0.492,IGP
2010-03-01,2010,3,25.56,84.64,0.865,1.209,IGP
2010-03-01,2010,3,25.56,85.71,0.785,0.669,IGP
2010-03-01,2010,3,25.56,86.79,0.573,0.334,IGP
2010-03-01,2010,3,25.56,87.86,0.857,0.509,IGP
2010-03-01,2010,3,25.56,88.93,0.601,0.496,IGP
2010-03-01,2010,3,25.56,90.0,0.62,0.478,IGP
2010-03-01,2010,3,26.11,75.0,0.543,0.418,IGP
2010-03-01,2010,3,26.11,76.07,0.597,0.418,IGP
2010-03-01,2010,3,26.11,77.14,0.529,0.516,IGP
2010-03-01,2010,3,26.11,78.21,0.575,0.726,IGP
2010-03-01,2010,3,26.11,79.29,0.335,0.664,IGP
2010-03-01,2010,3,26.11,80.36,1.205,0.589,IGP
2010-03-01,2010,3,26.11,81.43,1.046,0.844,IGP
2010-03-01,2010,3,26.11,82.5,0.459,0.383,IGP
2010-03-01,2010,3,26.11,83.57,0.489,0.763,IGP
2010-03-01,2010,3,26.11,84.64,0.694,0.691,IGP
2010-03-01,2010,3,26.11,85.71,0.672,0.331,IGP
2010-03-01,2010,3,26.11,86.79,0.548,0.573,IGP
2010-03-01,2010,3,26.11,87.86,0.717,1.214,IGP
2010-03-01,2010,3,26.11,88.93,0.576,0.444,IGP
2010-03-01,2010,3,26.11,90.0,0.671,0.567,IGP
2010-03-01,2010,3,26.67,75.0,0.564,0.674,IGP
2010-03-01,2010,3,26.67,76.07,0.492,0.592,IGP
2010-03-01,2010,3,26.67,77.14,0.659,0.454,IGP
2010-03-01,2010,3,26.67,78.21,0.633,0.312,IGP
2010-03-01,2010,3,26.67,79.29,0.692,0.472,IGP
2010-03-01,2010,3,26.67,80.36,1.028,1.057,IGP
2010-03-01,2010,3,26.67,81.43,1.01,0.689,IGP
2010-03-01,2010,3,26.67,82.5,0.444,0.591,IGP
2010-03-01,2010,3,26.67,83.57,0.472,0.763,IGP
2010-03-01,2010,3,26.67,84.64,0.392,0.754,IGP
2010-03-01,2010,3,26.67,85.71,0.621,0.485,IGP
2010-03-01,2010,3,26.67,86.79,0.546,0.56,IGP
2010-03-01,2010,3,26.67,87.86,0.596,0.665,IGP
2010-03-01,2010,3,26.67,88.93,0.611,0.523,IGP
2010-03-01,2010,3,26.67,90.0,0.564,0.491,IGP
2010-03-01,2010,3,27.22,75.0,0.631,0.243,IGP
2010-03-01,2010,3,27.22,76.07,0.465,0.611,IGP
2010-03-01,2010,3,27.22,77.14,0.617,0.472,IGP
2010-03-01,2010,3,27.22,78.21,0.602,0.552,IGP
2010-03-01,2010,3,27.22,79.29,0.546,0.383,IGP
2010-03-01,2010,3,27.22,80.36,1.1,0.753,IGP
2010-03-01,2010,3,27.22,81.43,1.121,0.645,IGP
2010-03-01,2010,3,27.22,82.5,0.703,0.571,IGP
2010-03-01,2010,3,27.22,83.57,0.938,1.295,IGP
2010-03-01,2010,3,27.22,84.64,0.767,0.652,IGP
2010-03-01,2010,3,27.22,85.71,0.416,0.308,IGP
2010-03-01,2010,3,27.22,86.79,0.538,0.504,IGP
2010-03-01,2010,3,27.22,87.86,0.652,0.391,IGP
2010-03-01,2010,3,27.22,88.93,0.619,0.387,IGP
2010-03-01,2010,3,27.22,90.0,0.539,0.289,IGP
2010-03-01,2010,3,27.78,75.0,0.508,0.297,IGP
2010-03-01,2010,3,27.78,76.07,0.982,1.058,IGP
2010-03-01,2010,3,27.78,77.14,0.985,1.295,IGP
2010-03-01,2010,3,27.78,78.21,1.129,0.928,IGP
2010-03-01,2010,3,27.78,79.29,0.514,0.605,IGP
2010-03-01,2010,3,27.78,80.36,1.022,0.918,IGP
2010-03-01,2010,3,27.78,81.43,1.336,0.886,IGP
2010-03-01,2010,3,27.78,82.5,0.715,0.395,IGP
2010-03-01,2010,3,27.78,83.57,0.597,0.766,IGP
2010-03-01,2010,3,27.78,84.64,0.537,0.772,IGP
2010-03-01,2010,3,27.78,85.71,0.671,0.416,IGP
2010-03-01,2010,3,27.78,86.79,0.663,0.646,IGP
2010-03-01,2010,3,27.78,87.86,0.662,0.264,IGP
2010-03-01,2010,3,27.78,88.93,0.527,0.463,IGP
2010-03-01,2010,3,27.78,90.0,0.593,0.593,IGP
2010-03-01,2010,3,28.33,75.0,0.618,0.3,IGP
2010-03-01,2010,3,28.33,76.07,1.118,0.992,IGP
2010-03-01,2010,3,28.33,77.14,1.136,1.062,IGP
2010-03-01,2010,3,28.33,78.21,1.163,0.969,IGP
2010-03-01,2010,3,28.33,79.29,0.889,0.502,IGP
2010-03-01,2010,3,28.33,80.36,0.643,0.531,IGP
2010-03-01,2010,3,28.33,81.43,0.627,0.308,IGP
2010-03-01,2010,3,28.33,82.5,0.492,0.658,IGP
2010-03-01,2010,3,28.33,83.57,0.596,0.602,IGP
2010-03-01,2010,3,28.33,84.64,0.603,0.504,IGP
2010-03-01,2010,3,28.33,85.71,0.694,0.423,IGP
2010-03-01,2010,3,28.33,86.79,0.61,0.431,IGP
2010-03-01,2010,3,28.33,87.86,0.557,0.454,IGP
2010-03-01,2010,3,28.33,88.93,0.622,0.428,IGP
2010-03-01,2010,3,28.33,90.0,0.726,0.366,IGP
2010-03-01,2010,3,28.89,75.0,0.581,0.434,IGP
2010-03-01,2010,3,28.89,76.07,1.225,0.929,IGP
2010-03-01,2010,3,28.89,77.14,1.183,0.677,IGP
2010-03-01,2010,3,28.89,78.21,1.107,1.033,IGP
2010-03-01,2010,3,28.89,79.29,0.608,0.66,IGP
2010-03-01,2010,3,28.89,80.36,0.548,0.711,IGP
2010-03-01,2010,3,28.89,81.43,0.83,0.446,IGP
2010-03-01,2010,3,28.89,82.5,0.555,0.718,IGP
2010-03-01,2010,3,28.89,83.57,0.758,0.422,IGP
2010-03-01,2010,3,28.89,84.64,0.558,0.458,IGP
2010-03-01,2010,3,28.89,85.71,0.698,0.724,IGP
2010-03-01,2010,3,28.89,86.79,0.5,0.385,IGP
2010-03-01,2010,3,28.89,87.86,0.597,0.535,IGP
2010-03-01,2010,3,28.89,88.93,0.755,0.35,IGP
2010-03-01,2010,3,28.89,90.0,0.698,0.468,IGP
2010-03-01,2010,3,29.44,75.0,0.595,0.601,IGP
2010-03-01,2010,3,29.44,76.07,0.968,0.957,IGP
2010-03-01,2010,3,29.44,77.14,1.097,0.974,IGP
2010-03-01,2010,3,29.44,78.21,1.109,1.268,IGP
2010-03-01,2010,3,29.44,79.29,0.536,0.42,IGP
2010-03-01,2010,3,29.44,80.36,0.538,0.417,IGP
2010-03-01,2010,3,29.44,81.43,0.536,0.678,IGP
2010-03-01,2010,3,29.44,82.5,1.113,0.829,IGP
2010-03-01,2010,3,29.44,83.57,0.517,0.571,IGP
2010-03-01,2010,3,29.44,84.64,0.545,0.595,IGP
2010-03-01,2010,3,29.44,85.71,0.62,0.273,IGP
2010-03-01,2010,3,29.44,86.79,0.755,0.769,IGP
2010-03-01,2010,3,29.44,87.86,0.539,0.442,IGP
2010-03-01,2010,3,29.44,88.93,0.629,0.55,IGP
2010-03-01,2010,3,29.44,90.0,0.666,0.802,IGP
